"Date","Price","Open","High","Low","Vol.","Change %"
"10/29/2001","156.03","156.03","156.03","156.03","","-0.24%"
"10/26/2001","156.40","156.40","156.40","156.40","","0.08%"
"10/25/2001","156.28","156.28","156.28","156.28","","0.00%"
"10/24/2001","156.28","156.28","156.28","156.28","","-0.62%"
"10/23/2001","157.25","157.25","157.25","157.25","","0.08%"
"10/22/2001","157.12","157.12","157.12","157.12","","0.07%"
"10/19/2001","157.01","157.01","157.01","157.01","","0.39%"
"10/18/2001","156.40","156.40","156.40","156.40","","-0.23%"
"10/17/2001","156.76","156.76","156.76","156.76","","-0.01%"
"10/16/2001","156.77","156.77","156.77","156.77","","0.43%"
"10/15/2001","156.10","156.10","156.10","156.10","","-0.16%"
"10/12/2001","156.35","156.35","156.35","156.35","","-0.23%"
"10/11/2001","156.71","156.71","156.71","156.71","","-0.46%"
"10/10/2001","157.43","157.43","157.43","157.43","","0.08%"
"10/09/2001","157.31","157.31","157.31","157.31","","-0.23%"
"10/08/2001","157.67","157.67","157.67","157.67","","-0.15%"
"10/05/2001","157.91","157.91","157.91","157.91","","-0.08%"
"10/04/2001","158.03","158.03","158.03","158.03","","0.30%"
"10/03/2001","157.55","157.55","157.55","157.55","","0.00%"
"10/02/2001","157.55","157.55","157.55","157.55","","0.00%"
"10/01/2001","157.55","157.55","157.55","157.55","","0.00%"
"09/28/2001","157.55","157.55","157.55","157.55","","0.15%"
"09/27/2001","157.31","157.31","157.31","157.31","","0.16%"
"09/26/2001","157.06","157.06","157.06","157.06","","-0.23%"
"09/25/2001","157.42","157.42","157.42","157.42","","0.08%"
"09/24/2001","157.30","157.30","157.30","157.30","","0.15%"
"09/21/2001","157.07","157.07","157.07","157.07","","0.54%"
"09/20/2001","156.22","156.22","156.22","156.22","","0.08%"
"09/19/2001","156.10","156.10","156.10","156.10","","-0.38%"
"09/18/2001","156.70","156.70","156.70","156.70","","-0.14%"
"09/17/2001","156.92","156.92","156.92","156.92","","0.13%"
"09/14/2001","156.71","156.71","156.71","156.71","","0.53%"
"09/13/2001","155.89","155.89","155.89","155.89","","0.43%"
"09/12/2001","155.23","155.23","155.23","155.23","","-0.48%"
"09/11/2001","155.98","155.98","155.98","155.98","","0.46%"
"09/10/2001","155.26","155.26","155.26","155.26","","-0.27%"
"09/07/2001","155.68","155.68","155.68","155.68","","0.90%"
"09/06/2001","154.29","154.29","154.29","154.29","","-0.62%"
"09/05/2001","155.25","155.25","155.25","155.25","","0.31%"
"09/04/2001","154.77","154.77","154.77","154.77","","0.12%"
"09/03/2001","154.58","154.58","154.58","154.58","","-0.05%"
"08/31/2001","154.65","154.65","154.65","154.65","","0.08%"
"08/30/2001","154.53","154.53","154.53","154.53","","0.16%"
"08/29/2001","154.28","154.28","154.28","154.28","","0.07%"
"08/28/2001","154.17","154.17","154.17","154.17","","0.01%"
"08/27/2001","154.16","154.16","154.16","154.16","","0.00%"
"08/24/2001","154.16","154.16","154.16","154.16","","-0.24%"
"08/23/2001","154.53","154.53","154.53","154.53","","0.08%"
"08/22/2001","154.41","154.41","154.41","154.41","","-0.08%"
"08/21/2001","154.53","154.53","154.53","154.53","","-0.16%"
"08/20/2001","154.77","154.77","154.77","154.77","","0.16%"
"08/17/2001","154.53","154.53","154.53","154.53","","0.01%"
"08/16/2001","154.52","154.52","154.52","154.52","","0.00%"
"08/15/2001","154.52","154.52","154.52","154.52","","0.00%"
"08/14/2001","154.52","154.52","154.52","154.52","","0.00%"
"08/13/2001","154.52","154.52","154.52","154.52","","-0.01%"
"08/10/2001","154.53","154.53","154.53","154.53","","-0.38%"
"08/09/2001","155.12","155.12","155.12","155.12","","0.31%"
"08/08/2001","154.64","154.64","154.64","154.64","","-0.39%"
"08/07/2001","155.25","155.25","155.25","155.25","","0.23%"
"08/06/2001","154.89","154.89","154.89","154.89","","0.00%"
"08/03/2001","154.89","154.89","154.89","154.89","","-0.15%"
"08/02/2001","155.13","155.13","155.13","155.13","","-0.62%"
"08/01/2001","156.10","156.10","156.10","156.10","","-0.46%"
"07/31/2001","156.82","156.82","156.82","156.82","","-0.16%"
"07/30/2001","157.07","157.07","157.07","157.07","","0.39%"
"07/27/2001","156.46","156.46","156.46","156.46","","0.28%"
"07/26/2001","156.03","156.03","156.03","156.03","","-1.04%"
"07/25/2001","157.67","157.67","157.67","157.67","","-0.37%"
"07/24/2001","158.26","158.26","158.26","158.26","","-0.01%"
"07/23/2001","158.27","158.27","158.27","158.27","","0.76%"
"07/20/2001","157.07","157.07","157.07","157.07","","0.00%"
"07/19/2001","157.07","157.07","157.07","157.07","","-0.53%"
"07/18/2001","157.91","157.91","157.91","157.91","","-0.30%"
"07/17/2001","158.39","158.39","158.39","158.39","","0.07%"
"07/16/2001","158.28","158.28","158.28","158.28","","0.54%"
"07/13/2001","157.43","157.43","157.43","157.43","","0.39%"
"07/12/2001","156.82","156.82","156.82","156.82","","-0.65%"
"07/11/2001","157.85","157.85","157.85","157.85","","0.70%"
"07/10/2001","156.76","156.76","156.76","156.76","","0.15%"
"07/09/2001","156.52","156.52","156.52","156.52","","0.12%"
"07/06/2001","156.34","156.34","156.34","156.34","","-0.12%"
"07/05/2001","156.52","156.52","156.52","156.52","","0.00%"
"07/04/2001","156.52","156.52","156.52","156.52","","0.19%"
"07/03/2001","156.22","156.22","156.22","156.22","","-0.53%"
"07/02/2001","157.06","157.06","157.06","157.06","","-0.04%"
"06/29/2001","157.13","157.13","157.13","157.13","","-0.18%"
"06/28/2001","157.42","157.42","157.42","157.42","","0.42%"
"06/27/2001","156.76","156.76","156.76","156.76","","-0.16%"
