Date,Price,Open,High,Low,Vol.,Change %
12/1/18,0.617,0.6219,0.6219,0.608,,-0.69%
1/1/19,0.6022,0.617,0.6218,0.5991,,-2.39%
2/1/19,0.5948,0.6023,0.6047,0.5942,,-1.23%
3/1/19,0.5901,0.5948,0.5974,0.5884,,-0.79%
4/1/19,0.5782,0.5901,0.5946,0.5766,,-2.02%
5/1/19,0.5811,0.5782,0.583,0.5748,,0.49%
6/1/19,0.5938,0.5811,0.5965,0.5789,,2.19%
7/1/19,0.5798,0.5938,0.5952,0.5787,,-2.35%
8/1/19,0.5912,0.5798,0.5926,0.5746,,1.97%
9/1/19,0.5966,0.5912,0.602,0.5878,,0.91%
10/1/19,0.6019,0.5966,0.608,0.5915,,0.89%
11/1/19,0.5951,0.6019,0.6066,0.5949,,-1.13%
12/1/19,0.6048,0.5937,0.6053,0.5889,,1.62%
1/1/20,0.58,0.6048,0.6048,0.5786,,-4.10%
2/1/20,0.5823,0.58,0.5928,0.5741,,0.40%
3/1/20,0.5819,0.5825,0.59,0.5475,,-0.07%
4/1/20,0.5818,0.5819,0.5862,0.5704,,-0.03%
5/1/20,0.5795,0.5818,0.5848,0.5733,,-0.39%
6/1/20,0.5891,0.5795,0.596,0.5795,,1.65%
7/1/20,0.5836,0.5891,0.5922,0.5788,,-0.92%
8/1/20,0.5765,0.5836,0.5898,0.5762,,-1.23%
9/1/20,0.583,0.5765,0.5855,0.574,,1.14%
10/1/20,0.0059,0.583,0.5914,0.0058,,-98.99%
11/1/20,0.0059,0.0059,0.006,0.0059,,0.00%
12/1/20,0.0059,0.0059,0.006,0.0059,,0.00%
1/1/21,0.0058,0.006,0.006,0.0057,,-2.99%
2/1/21,0.0058,0.0058,0.0059,0.0057,,0.00%
3/1/21,0.0058,0.0058,0.0059,0.0057,,0.00%
4/1/21,0.0058,0.0059,0.0059,0.0058,,0.00%
5/1/21,0.0058,0.0058,0.0058,0.0057,,0.00%
6/1/21,0.0057,0.0057,0.0058,0.0056,,0.00%
7/1/21,0.0057,0.0057,0.0057,0.0056,,-1.14%
8/1/21,0.0056,0.0056,0.0057,0.0055,,-1.35%
9/1/21,0.0054,0.0056,0.0056,0.0054,,-2.41%
10/1/21,0.0054,0.0054,0.0055,0.0054,,0.00%
11/1/21,0.0054,0.0055,0.0055,0.0053,,-1.28%
12/1/21,0.0054,0.0054,0.0054,0.0053,,0.00%
1/1/22,0.0052,0.0053,0.0054,0.0052,,-1.95%
2/1/22,0.0053,0.0053,0.0053,0.0052,,0.00%
3/1/22,0.0053,0.0053,0.0053,0.0051,,0.00%
4/1/22,0.0052,0.0052,0.0053,0.0051,,0.00%
5/1/22,0.0054,0.0052,0.0054,0.0052,,2.73%
6/1/22,0.0051,0.0054,0.0054,0.0051,,-4.17%
7/1/22,0.0051,0.0052,0.0052,0.0051,,0.00%
8/1/22,0.0052,0.0052,0.0052,0.0051,,0.00%
9/1/22,0.0049,0.0051,0.0051,0.0049,,-4.08%
10/1/22,0.0051,0.0049,0.0051,0.0049,,3.13%
11/1/22,0.0054,0.0051,0.0055,0.0051,,6.93%
12/1/22,0.0055,0.0054,0.0055,0.0053,,1.00%
1/1/23,0.0055,0.0055,0.0055,0.0054,,0.00%
2/1/23,0.0052,0.0055,0.0055,0.0052,,-4.56%
3/1/23,0.0053,0.0052,0.0054,0.0052,,1.75%
4/1/23,0.0052,0.0053,0.0053,0.0051,,-3.26%
5/1/23,0.0054,0.0052,0.0054,0.0051,,4.49%
6/1/23,0.0055,0.0054,0.0057,0.0054,,2.19%
7/1/23,0.0055,0.0055,0.0057,0.0055,,0.00%
8/1/23,0.0055,0.0056,0.0056,0.0053,,-1.18%
9/1/23,0.0053,0.0054,0.0055,0.0052,,-2.68%
10/1/23,0.0053,0.0053,0.0054,0.0052,,0.00%
11/1/23,0.0054,0.0053,0.0056,0.0053,,2.07%
12/1/23,0.0055,0.0054,0.0055,0.0053,,0.00%
1/1/24,0.0054,0.0055,0.0055,0.0053,,-2.30%
2/1/24,0.0053,0.0053,0.0054,0.0053,,0.00%
3/1/24,0.0052,0.0053,0.0054,0.0052,,-1.40%
4/1/24,0.0051,0.0053,0.0053,0.0051,,-2.55%
5/1/24,0.0051,0.0051,0.0053,0.0051,,0.00%
6/1/24,0.0052,0.0051,0.0053,0.0051,,2.12%
7/1/24,0.0052,0.0053,0.0053,0.0052,,0.00%
8/1/24,0.0052,0.0053,0.0053,0.0052,,0.00%
